file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
252.txt	97.28	99.33	95.31	86.08	90.27	82.27	8584	58	422	167	18	36
253.txt	96.46	99.43	93.66	72.73	92.31	60.00	694	4	47	12	1	8
254.txt	97.02	99.79	94.39	81.97	96.15	71.43	943	2	56	25	1	10
255.txt	77.66	99.36	63.74	33.85	100.00	20.37	624	4	355	11	0	43
256.txt	97.61	99.41	95.87	84.31	100.00	72.88	2532	15	109	43	0	16
257.txt	98.29	99.92	96.72	83.33	100.00	71.43	1297	1	44	10	0	4
258.txt	96.27	99.93	92.87	80.00	100.00	66.67	2761	2	212	60	0	30
259.txt	97.90	99.96	95.92	78.12	96.15	65.79	2495	1	106	25	1	13
260.txt	54.21	100.00	37.18	27.27	100.00	15.79	364	0	615	18	0	96
261.txt	86.30	98.97	76.52	49.28	100.00	32.69	2297	24	705	17	0	35
262.txt	62.72	100.00	45.69	50.00	100.00	33.33	53	0	63	2	0	4
263.txt	98.92	99.89	97.98	92.68	100.00	86.36	873	1	18	19	0	3
264.txt	93.60	99.29	88.52	45.16	100.00	29.17	563	4	73	7	0	17
265.txt	86.24	77.58	97.08	50.34	35.24	88.10	865	250	26	37	68	5
266.txt	79.51	97.02	67.36	45.90	93.33	30.43	456	14	221	14	1	32
267.txt	97.95	99.34	96.60	63.74	100.00	46.77	8081	54	284	58	0	66
268.txt	97.24	98.70	95.82	67.23	100.00	50.64	14476	190	631	198	0	193
269.txt	98.02	98.81	97.23	92.31	92.31	92.31	914	11	26	12	1	1
270.txt	6.67	100.00	3.45	0.00	0.00	0.00	1	0	28	0	0	2
271.txt	97.80	98.39	97.22	66.67	100.00	50.00	245	4	7	5	0	5
272.txt	68.62	99.92	52.25	55.62	100.00	38.52	1302	1	1190	47	0	75
273.txt	95.02	91.64	98.65	48.04	32.67	90.74	4903	447	67	98	202	10
274.txt	99.80	99.60	100.00	98.04	96.15	100.00	988	4	0	25	1	0
275.txt	99.11	100.00	98.23	96.00	100.00	92.31	1335	0	24	24	0	2
276.txt	61.64	53.80	72.16	20.29	16.28	26.92	425	365	164	7	36	19
277.txt	99.46	99.61	99.31	98.11	100.00	96.30	2309	9	16	26	0	1
278.txt	66.67	100.00	50.00	0.00	0.00	0.00	1	0	1	0	0	0
279.txt	96.57	97.98	95.21	87.50	89.74	85.37	1550	32	78	35	4	6
280.txt	99.28	99.90	98.67	94.18	100.00	89.00	5718	6	77	89	0	11
281.txt	97.30	98.96	95.70	79.63	95.56	68.25	2957	31	133	43	2	20
282.txt	97.37	96.83	97.91	91.30	100.00	84.00	3142	103	67	42	0	8
283.txt	99.29	99.53	99.06	96.77	100.00	93.75	631	3	6	15	0	1
284.txt	99.35	98.70	100.00	92.31	85.71	100.00	457	6	0	6	1	0
285.txt	99.05	98.94	99.17	94.44	94.44	94.44	838	9	7	17	1	1
286.txt	90.76	84.07	98.61	81.48	95.65	70.97	1773	336	25	22	1	9
287.txt	89.98	81.78	100.00	81.82	69.23	100.00	817	182	0	27	12	0
288.txt	98.56	98.46	98.66	96.34	97.13	95.56	8849	138	120	237	7	11
289.txt	99.80	99.73	99.86	98.82	100.00	97.67	4892	13	7	42	0	1
290.txt	99.30	98.73	99.87	90.91	90.91	90.91	780	10	1	10	1	1
