file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
295.txt	87.37	95.66	80.41	0.00	0.00	0.00	2249	102	548	0	0	88
296.txt	89.61	99.43	81.55	0.00	0.00	0.00	1388	8	314	0	0	57
297.txt	73.77	99.46	58.63	0.00	0.00	0.00	367	2	259	0	0	39
298.txt	96.66	95.88	97.46	0.00	0.00	0.00	1419	61	37	0	0	29
299.txt	96.76	99.63	94.05	0.00	0.00	0.00	1628	6	103	0	0	41
300.txt	95.29	95.68	94.91	0.00	0.00	0.00	708	32	38	0	0	24
301.txt	84.44	85.23	83.66	0.00	0.00	0.00	860	149	168	0	0	34
302.txt	80.17	70.37	93.14	0.00	0.00	0.00	95	40	7	0	0	2
303.txt	94.81	98.07	91.75	0.00	0.00	0.00	712	14	64	0	0	15
304.txt	82.89	97.77	71.94	0.00	0.00	0.00	3028	69	1181	0	0	238
305.txt	79.53	99.40	66.29	0.00	0.00	0.00	987	6	502	0	0	94
306.txt	90.01	97.81	83.36	0.00	0.00	0.00	2549	57	509	0	0	118
307.txt	52.64	36.40	95.02	0.00	0.00	0.00	649	1134	34	0	0	16
308.txt	66.15	49.85	98.30	0.00	0.00	0.00	1967	1979	34	0	0	21
309.txt	76.98	72.72	81.78	0.00	0.00	0.00	2356	884	525	0	0	64
310.txt	94.96	92.49	97.56	0.00	0.00	0.00	160	13	4	0	0	4
311.txt	98.31	99.84	96.82	0.00	0.00	0.00	3773	6	124	0	0	63
312.txt	92.44	99.03	86.67	0.00	0.00	0.00	1021	10	157	0	0	31
313.txt	98.39	97.67	99.12	0.00	0.00	0.00	1799	43	16	0	0	16
314.txt	96.05	99.44	92.87	0.00	0.00	0.00	1968	11	151	0	0	65
315.txt	96.47	99.51	93.61	0.00	0.00	0.00	806	4	55	0	0	28
316.txt	97.89	99.12	96.69	0.00	0.00	0.00	3267	29	112	0	0	48
317.txt	95.80	96.37	95.24	0.00	0.00	0.00	1061	40	53	0	0	39
318.txt	94.91	94.87	94.95	0.00	0.00	0.00	1035	56	55	0	0	34
319.txt	63.69	99.22	46.90	0.00	0.00	0.00	2677	21	3031	0	0	614
320.txt	96.78	99.74	93.99	0.00	0.00	0.00	4987	13	319	0	0	128
321.txt	97.93	100.00	95.95	0.00	0.00	0.00	901	0	38	0	0	17
322.txt	50.31	90.62	34.82	0.00	0.00	0.00	493	51	923	0	0	69
323.txt	96.75	100.00	93.71	0.00	0.00	0.00	447	0	30	0	0	17
324.txt	92.54	90.81	94.34	0.00	0.00	0.00	4049	410	243	0	0	77
325.txt	55.46	92.14	39.66	0.00	0.00	0.00	1489	127	2265	0	0	70
326.txt	98.96	100.00	97.95	0.00	0.00	0.00	859	0	18	0	0	18
327.txt	97.56	100.00	95.23	0.00	0.00	0.00	399	0	20	0	0	4
328.txt	96.90	99.73	94.22	0.00	0.00	0.00	1483	4	91	0	0	51
329.txt	100.00	100.00	100.00	0.00	0.00	0.00	2	0	0	0	0	0
330.txt	87.44	93.39	82.21	0.00	0.00	0.00	2782	197	602	0	0	147
331.txt	91.15	96.38	86.47	0.00	0.00	0.00	984	37	154	0	0	55
